0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/ce/component?component=FOP HTTP/1.1" 200 460 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAb"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/qualitygates/project_status?projectKey=FOP HTTP/1.1" 200 88 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAf"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/components/show?component=FOP HTTP/1.1" 200 198 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAi"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/alm_settings/get_binding?project=FOP HTTP/1.1" 404 70 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAk"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/navigation/component?component=FOP HTTP/1.1" 200 938 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAj"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/measures/search_history?from=2020-06-28T17%3A16%3A34%2B0000&component=FOP&metrics=bugs%2Cvulnerabilities%2Csqale_index%2Cduplicated_lines_density%2Cncloc%2Ccoverage%2Ccode_smells%2Creliability_rating%2Csecurity_rating%2Csqale_rating&ps=1000 HTTP/1.1" 200 953 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAg"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/project_pull_requests/list?project=FOP HTTP/1.1" 200 19 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAn"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/project_analyses/search?project=FOP&from=2020-06-28T17%3A16%3A34%2B0000 HTTP/1.1" 200 280 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAh"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/project_branches/list?project=FOP HTTP/1.1" 200 165 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAm"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/qualitygates/project_status?projectKey=FOP HTTP/1.1" 200 88 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAp"
