2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2021.06.28 19:16:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2021.06.28 19:16:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2021.06.28 19:16:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2021.06.28 19:16:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2021.06.28 19:16:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2021.06.28 19:16:19 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2021.06.28 19:16:19 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@1ead4fd [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@44248134 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@58ec649d [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@4f247a92 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@12db434f [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@21ebdfc0 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@5ca97347 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@f4c5356 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@21dfaa4f [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@53aeac6 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@33e6e8b9 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2021.06.28 19:16:19 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2021.06.28 19:16:19 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2021.06.28 19:16:19 INFO  web[][o.s.s.p.Platform] WebServer is operational
2021.06.28 20:40:38 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2021.06.28 20:40:38 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2021.06.28 20:40:38 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2021.06.28 20:40:38 INFO  web[][o.s.s.app.WebServer] WebServer stopped
