0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:42 +0200] "GET /api/plugins/pending HTTP/1.1" 200 45 "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAf"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:44 +0200] "GET /api/settings/values?keys=sonar.auth.saml.enabled%2Csonar.auth.saml.applicationId%2Csonar.auth.saml.providerName%2Csonar.auth.saml.providerId%2Csonar.auth.saml.loginUrl%2Csonar.auth.saml.certificate.secured%2Csonar.auth.saml.user.login%2Csonar.auth.saml.user.name%2Csonar.auth.saml.user.email%2Csonar.auth.saml.group.name%2Csonar.validateWebhooks%2Csonar.allowPermissionManagementForProjectAdmins%2Csonar.forceAuthentication HTTP/1.1" 200 456 "http://localhost:9000/admin/settings?category=security" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAm"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:59 +0200] "GET /js/7.m.4fa8bb69.chunk.js HTTP/1.1" 200 - "http://localhost:9000/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAo"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:59 +0200] "GET /js/1.m.78e51612.chunk.js HTTP/1.1" 200 - "http://localhost:9000/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAn"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:59 +0200] "GET /js/316.m.6dd4feea.chunk.js HTTP/1.1" 200 - "http://localhost:9000/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAp"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:59 +0200] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAq"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:59 +0200] "GET /api/users/search? HTTP/1.1" 200 298 "http://localhost:9000/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAr"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:18 +0200] "POST /api/users/change_password HTTP/1.1" 204 - "http://localhost:9000/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAs"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:26 +0200] "GET /js/279.m.faed8c28.chunk.js HTTP/1.1" 200 - "http://localhost:9000/quality_gates" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAt"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:26 +0200] "GET /js/320.m.0a0269d5.chunk.js HTTP/1.1" 200 - "http://localhost:9000/quality_gates" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAu"
